epoch,t1,t3,t5,t7
1,0.159374,0.194623,0.312199,0.211674
2,0.157411,0.235692,0.259930,0.236814
3,0.157428,0.194413,0.276546,0.297807
4,0.157171,0.191896,0.226790,0.300286
5,0.156740,0.260867,0.220973,0.279675
6,0.156010,0.255904,0.221991,0.335466
7,0.151359,0.154713,0.218827,0.308737
8,0.148116,0.221729,0.215247,0.314932
9,0.144433,0.184994,0.215782,0.212973
10,0.141718,0.201179,0.208532,0.269687
11,0.136129,0.214413,0.200965,0.263188
12,0.131647,0.191268,0.219686,0.267960
13,0.125899,0.213213,0.197100,0.275692
14,0.122704,0.127181,0.219389,0.196931
15,0.120841,0.213024,0.188085,0.189576
16,0.118325,0.134103,0.181547,0.184653
17,0.117984,0.157668,0.180215,0.191959
18,0.118207,0.199790,0.179687,0.183788
19,0.117110,0.122060,0.179989,0.183637
20,0.117732,0.140604,0.178432,0.181863
21,0.116861,0.181647,0.184383,0.186838
22,0.119027,0.215700,0.232019,0.190667
23,0.117362,0.186347,0.180354,0.256395
24,0.115157,0.130003,0.251073,0.180499
25,0.116113,0.171731,0.161558,0.181430
26,0.117036,0.137230,0.250119,0.178810
27,0.117128,0.126100,0.240768,0.180157
28,0.115311,0.217657,0.119882,0.179636
29,0.117046,0.118347,0.259621,0.180628
30,0.115150,0.156625,0.235055,0.184640
31,0.115340,0.158751,0.197975,0.180083
32,0.115912,0.209406,0.239436,0.179752
33,0.114400,0.116655,0.117770,0.177672
34,0.114561,0.136786,0.120395,0.229842
35,0.114563,0.116131,0.116579,0.182446
36,0.114494,0.187477,0.116218,0.178428
37,0.114558,0.145196,0.158267,0.178318
38,0.114715,0.196469,0.261862,0.181498
39,0.114253,0.156454,0.174518,0.178374
40,0.112789,0.119828,0.176440,0.176402
41,0.113619,0.210980,0.175506,0.177570
42,0.113898,0.152091,0.175874,0.175292
43,0.114284,0.160357,0.177231,0.176368
44,0.114244,0.167352,0.177176,0.179293
45,0.114769,0.184355,0.176841,0.177239
46,0.114752,0.200635,0.177003,0.186198
47,0.114098,0.119741,0.178566,0.177443
48,0.115217,0.187959,0.177288,0.178340
49,0.114302,0.159558,0.177094,0.238039
50,0.114823,0.172892,0.176974,0.264959
51,0.116021,0.171987,0.178789,0.181344
52,0.115351,0.158285,0.173884,0.177846
53,0.116331,0.180095,0.179146,0.182996
54,0.114555,0.151743,0.175835,0.183632
55,0.115569,0.135689,0.176523,0.186207
56,0.115918,0.151470,0.177627,0.178378
57,0.116389,0.188469,0.176825,0.186102
58,0.115717,0.137550,0.179681,0.179037
59,0.116274,0.147878,0.178294,0.178128
60,0.116052,0.184430,0.177215,0.188149
61,0.116100,0.184582,0.177226,0.178036
62,0.116017,0.210219,0.178076,0.181925
63,0.116548,0.135696,0.179171,0.182767
64,0.113852,0.202561,0.176954,0.177191
65,0.115511,0.210561,0.178440,0.182420
66,0.115010,0.151123,0.178042,0.181015
67,0.116228,0.187841,0.176421,0.177188
68,0.114576,0.156367,0.178360,0.180146
69,0.115524,0.199125,0.177994,0.183778
70,0.115629,0.186564,0.177748,0.180477
71,0.114817,0.146683,0.177290,0.177390
72,0.114686,0.168070,0.175786,0.177549
73,0.115036,0.155794,0.177503,0.178121
74,0.114797,0.144954,0.176718,0.177355
75,0.114986,0.135281,0.174361,0.182442
76,0.114745,0.217127,0.178455,0.178659
77,0.115271,0.138343,0.177129,0.180368
78,0.114061,0.135023,0.177861,0.165377
79,0.114402,0.187994,0.176804,0.124382
80,0.114586,0.127974,0.175122,0.123475
81,0.114856,0.182025,0.174537,0.180254
82,0.114975,0.136679,0.174104,0.187276
83,0.115804,0.175754,0.174135,0.185188
84,0.114797,0.219887,0.173761,0.186486
85,0.114402,0.128867,0.177573,0.184801
86,0.114555,0.212435,0.178215,0.185069
87,0.114976,0.117021,0.176136,0.185193
88,0.113861,0.160206,0.177108,0.190933
89,0.117028,0.177938,0.174879,0.182393
90,0.113978,0.149848,0.177049,0.202938
91,0.113947,0.126620,0.176500,0.247748
92,0.113617,0.179854,0.175790,0.240881
93,0.113730,0.178429,0.174543,0.236637
94,0.113807,0.201659,0.176438,0.243274
95,0.113976,0.200084,0.177005,0.235355
96,0.113306,0.191907,0.216134,0.236323
97,0.113636,0.189321,0.240494,0.239655
98,0.113934,0.211794,0.264616,0.240239
99,0.114087,0.114931,0.174193,0.244677
100,0.114149,0.116505,0.174510,0.261769
101,0.114035,0.210791,0.176039,0.177665
102,0.113291,0.151024,0.176675,0.174654
103,0.113691,0.184122,0.175350,0.185703
104,0.113290,0.120523,0.173954,0.178528
105,0.113686,0.211539,0.173101,0.181979
106,0.113727,0.192497,0.174201,0.180651
107,0.114007,0.208080,0.175610,0.182194
108,0.113236,0.175299,0.176862,0.185052
109,0.113014,0.167951,0.175276,0.180037
110,0.113678,0.146159,0.177387,0.188606
111,0.113397,0.118378,0.197359,0.267356
112,0.116725,0.170605,0.210203,0.176301
113,0.113390,0.177378,0.235277,0.175574
114,0.112915,0.202776,0.161683,0.179995
115,0.113973,0.134578,0.235361,0.184033
116,0.113157,0.179628,0.174255,0.177220
117,0.114572,0.198788,0.185764,0.179652
118,0.114247,0.189376,0.177605,0.182007
119,0.114285,0.171008,0.177120,0.184822
120,0.114046,0.119855,0.176978,0.185354
121,0.114322,0.204785,0.175654,0.177471
122,0.116469,0.163711,0.176565,0.187073
123,0.114057,0.170687,0.177300,0.181096
124,0.114790,0.188263,0.177411,0.184760
125,0.114236,0.195698,0.176580,0.180872
126,0.116314,0.175169,0.176456,0.180814
127,0.114629,0.159260,0.176642,0.227539
128,0.114794,0.115385,0.176876,0.178040
129,0.114407,0.203422,0.177645,0.178805
130,0.114989,0.191805,0.177817,0.185665
131,0.114470,0.202110,0.178262,0.184012
132,0.113766,0.147198,0.176306,0.183282
133,0.114811,0.204784,0.176580,0.185666
134,0.114176,0.188877,0.175633,0.180546
135,0.119509,0.155217,0.178423,0.179848
136,0.114621,0.174545,0.175162,0.181398
137,0.113950,0.149423,0.177219,0.191280
138,0.114665,0.138445,0.177412,0.175845
139,0.114631,0.155780,0.176982,0.178397
140,0.114492,0.198274,0.174341,0.177237
141,0.115004,0.167903,0.177059,0.179707
142,0.114412,0.147349,0.176624,0.178335
143,0.114902,0.202395,0.177836,0.178117
144,0.114300,0.127721,0.177406,0.179488
145,0.114997,0.115964,0.176776,0.177888
146,0.114620,0.130119,0.176585,0.181741
147,0.114402,0.146868,0.199633,0.176625
148,0.114571,0.160406,0.256608,0.178739
149,0.114405,0.168176,0.207017,0.177276
150,0.114623,0.199843,0.175673,0.177163
151,0.115074,0.149538,0.177045,0.180504
152,0.114394,0.217244,0.176166,0.177697
153,0.114627,0.168610,0.178105,0.182810
154,0.115052,0.158497,0.176469,0.181868
155,0.114719,0.140895,0.177882,0.237924
156,0.114206,0.167626,0.176099,0.178573
157,0.115213,0.209636,0.178614,0.176706
158,0.117840,0.120092,0.177792,0.174293
159,0.114304,0.197514,0.177250,0.180795
160,0.114609,0.190552,0.176661,0.177931
161,0.115353,0.189806,0.177101,0.183021
162,0.114545,0.155432,0.174387,0.179813
163,0.114362,0.204900,0.178107,0.179601
164,0.114859,0.149937,0.176318,0.180323
165,0.114654,0.180241,0.176595,0.178299
166,0.115133,0.145123,0.177673,0.180321
167,0.114896,0.161065,0.175142,0.179117
168,0.113854,0.205970,0.178150,0.184268
169,0.114642,0.168728,0.177091,0.192317
170,0.114688,0.119213,0.177028,0.180604
171,0.115282,0.115255,0.175859,0.233237
172,0.114769,0.130659,0.176504,0.239826
173,0.114031,0.209783,0.175239,0.239861
174,0.113810,0.118281,0.174966,0.242766
175,0.114621,0.127243,0.177441,0.256271
176,0.116590,0.203683,0.175665,0.227518
177,0.114380,0.187632,0.175400,0.257307
178,0.114111,0.203281,0.176167,0.253817
179,0.114631,0.169522,0.177447,0.230176
180,0.114817,0.175271,0.177525,0.263632
181,0.114942,0.120306,0.177372,0.225905
182,0.114721,0.179446,0.177438,0.254184
183,0.115348,0.187410,0.177159,0.246570
184,0.115197,0.168392,0.176809,0.262975
185,0.113898,0.214354,0.176868,0.179489
186,0.113347,0.188502,0.177193,0.175694
187,0.114916,0.158721,0.177905,0.188022
188,0.115232,0.156152,0.178395,0.177998
189,0.115790,0.190758,0.177879,0.182558
190,0.114836,0.181414,0.178067,0.184391
191,0.115593,0.199145,0.176940,0.177174
192,0.115150,0.167964,0.177563,0.180396
193,0.115425,0.159912,0.178105,0.179901
194,0.114432,0.171983,0.177491,0.181749
195,0.114465,0.202146,0.177742,0.179004
196,0.114185,0.139334,0.178261,0.177249
197,0.114418,0.207225,0.178351,0.178346
198,0.114228,0.193560,0.178654,0.177701
199,0.115762,0.174402,0.178674,0.182510
200,0.114495,0.144734,0.178479,0.178581
